Date,Open,High,Low,Close,Volume,Adj_Close,Daily_Return,MA10,MA30,Volatility_10,Lag1,Lag2,Lag3,Return_Lag1,Volume_Change,Target_NextClose
2015-02-17,127.489998,128.880005,126.919998,127.830002,63152400,122.905254,,,,,,,,,,128.720001
2015-02-18,127.629997,128.779999,127.449997,128.720001,44891700,123.760965,0.6962363968358476,,,,127.830002,,,,-28.91529063028484,128.449997
2015-02-19,128.479996,129.029999,128.330002,128.449997,37362400,123.501363,-0.20976071931509965,,,,128.720001,127.830002,,0.6962363968358476,-16.772142734625774,129.5
2015-02-20,128.619995,129.5,128.050003,129.5,48948400,124.510914,0.8174410467288729,,,,128.449997,128.720001,127.830002,-0.20976071931509965,31.009785238635622,133.0
2015-02-23,130.020004,133.0,129.660004,133.0,70974100,127.876074,2.7027027027026973,,,,129.5,128.449997,128.720001,0.8174410467288729,44.99779359488767,132.169998
2015-02-24,132.940002,133.600006,131.169998,132.169998,69228100,127.078049,-0.6240616541353439,,,,133.0,129.5,128.449997,2.7027027027026973,-2.46005232894817,128.789993
2015-02-25,131.559998,131.600006,128.149994,128.789993,74711700,123.828261,-2.557316373720442,,,,132.169998,133.0,129.5,-0.6240616541353439,7.921060956461323,130.419998
2015-02-26,128.789993,130.869995,126.610001,130.419998,91287500,125.395469,1.265630164293885,,,,128.789993,132.169998,133.0,-2.557316373720442,22.18635099991033,128.460007
2015-02-27,130.0,130.570007,128.240005,128.460007,62014800,123.510987,-1.5028301104559105,,,,130.419998,128.789993,132.169998,1.265630164293885,-32.066493221963576,129.089996
2015-03-02,129.25,130.279999,128.300003,129.089996,48096700,124.116706,0.4904164453299664,129.6429992,,,128.460007,130.419998,128.789993,-1.5028301104559105,-22.44319098021762,129.360001
2015-03-03,128.960007,129.520004,128.089996,129.360001,37816300,124.376308,0.2091602822576588,129.79599910000002,,1.468546323428095,129.089996,128.460007,130.419998,0.4904164453299664,-21.37443941060405,128.539993
2015-03-04,129.100006,129.559998,128.320007,128.539993,31666300,123.587892,-0.6338960989958564,129.77799829999998,,1.4716713549080203,129.360001,129.089996,128.460007,0.2091602822576588,-16.262828462858614,126.410004
2015-03-05,128.580002,128.75,125.760002,126.410004,56517100,121.539962,-1.6570632612373126,129.57399900000001,,1.5624920836769258,128.539993,129.360001,129.089996,-0.6338960989958564,78.47711920874873,126.599998
2015-03-06,128.399994,129.369995,126.260002,126.599998,72842100,121.722637,0.15029981329641728,129.2839988,,1.5305598968024123,126.410004,128.539993,129.360001,-1.6570632612373126,28.88506310479484,127.139999
2015-03-09,127.959999,129.570007,125.059998,127.139999,88528500,122.241834,0.4265410809880077,128.6979987,,1.1766642849802231,126.599998,126.410004,128.539993,0.15029981329641728,21.53479924384387,124.510002
